,gameId,win,diffLevel,diffKill,diffTower,diffDragon,diffWinrate
1963,4134683426,0,0,2,-1,-2,5.47
1964,4134095585,1,1,2,1,-2,15.68
1965,4134091539,0,-2,-4,-1,-2,-10.37
1966,4134006293,0,0,5,-1,0,-2.15
1967,4234530955,1,7,5,3,1,-10.58
1968,4231319921,1,7,14,2,0,-0.13
1969,4219510636,1,1,3,1,-1,-0.85
1970,4217092419,1,0,0,-1,0,2.53
1971,4216984276,1,6,12,1,2,-8.75
1972,4208307931,1,0,1,0,-2,-10.41
1973,4201575822,1,4,7,-1,-1,12.67
1974,4196737952,1,-1,-7,1,-2,-1.17
1975,4196647097,0,-1,-2,0,0,-13.58
1976,4196584298,1,-5,-2,-1,1,-4.29
1977,4196514803,0,-3,-1,-1,1,-15.88
1978,4192562696,0,-6,-15,-3,-2,6.75
1979,4191933247,0,-7,0,0,-1,-3.57
1980,4190664305,1,2,2,2,2,0.82
1981,4190583291,0,-2,-11,0,-1,1.88
1982,4183660176,1,4,15,2,1,7.44
1983,4183045571,0,-6,-15,-4,-1,1.45
1984,4182615638,0,-3,-10,1,-2,13.66
1985,4165425616,1,4,6,1,-2,-1.27
1986,4165145564,1,0,4,1,1,-17.88
1987,4164828389,0,-3,-12,-3,1,13.45
1988,4164800272,0,3,3,0,-1,-3.71
1989,4158485742,0,-1,-6,-1,-1,25.11
1990,4157428761,1,0,8,1,1,-1.24
1991,4157420232,1,-1,-2,-1,-2,1.7
1992,4151525384,1,6,14,3,1,5.21
1993,4151408805,0,-1,-3,2,2,-1.3
1994,4151355692,0,-2,-6,0,-2,-16.47
1995,4138991566,0,1,4,1,0,0.26
1996,4135598575,1,7,20,2,0,10.93
1997,4135643201,0,1,-1,-1,0,5.93
1998,4135531183,0,-2,1,0,0,10.42
1999,4135445969,0,-1,-7,0,-1,-18.37
2000,4133764839,1,2,3,0,1,-15.38
2001,4133761263,0,-7,-16,-1,-1,-3.62
2002,4133625437,0,-7,-18,-3,0,16.33
2003,4133196331,1,0,2,-1,-1,-7.52
2004,4131426796,0,-4,-8,-2,-2,-3.99
2005,4131349865,0,0,2,-1,-2,0.23
2006,4131191419,0,-1,0,-1,-1,-1.66
2007,4131047771,0,-4,-2,-1,-1,-2.18
2008,4130953449,1,-3,-3,-1,-1,7.79
2009,4130851890,0,-2,-6,-1,-1,-11.32
2010,4130616484,1,3,6,2,0,-5.59
2011,4130515296,1,10,16,2,1,3.05
2012,4130432830,0,-3,-1,-2,-1,-13.96
2013,4130348920,0,-2,1,-1,-1,-9.88
2014,4129476635,1,2,6,1,1,-4.43
2015,4129442788,1,3,5,2,1,0.67
2016,4129397180,0,-2,-4,-1,2,-16.88
2017,4129352545,1,5,13,2,-1,9.15
2018,4129262916,1,0,-4,0,-2,-12.69
2019,4129230923,1,2,6,1,-2,11.02
2020,4128966828,1,7,14,2,2,6.23
2021,4128930414,1,8,14,-1,-1,5.75
2022,4128724515,1,-1,-4,4,-1,7.22
2023,4127630376,1,3,5,3,-2,-5.2
2024,4127584723,1,2,3,-1,1,9.66
2025,4127524435,0,-5,-10,-3,-2,-6.22
2026,4127454765,1,1,-1,-2,1,1.8
2027,4127415982,1,2,2,0,-2,16.72
2028,4255719130,0,2,1,-1,1,-7.9
2029,4255344204,0,0,0,-1,1,2.05
2030,4255067388,0,-9,-16,-8,0,-21.7
2031,4254964948,0,-4,-3,1,-1,25.85
2032,4252328446,1,3,5,2,1,-1.28
2033,4251696757,1,5,8,2,1,-6.25
2034,4250712539,1,2,5,2,1,-8.4
2035,4249808880,0,1,-5,-4,0,4.12
2036,4249756448,1,1,0,0,0,17.9
